planta_canon,nombre_planta,area,sector
Prechancado,Planta Prechancado,Chancado,Chancado primario
Chancado 2° y 3°,Planta Chancado Secundario y Terciario,Chancado,Chancado secundario y terciario
Chancado Fino 3°,Planta Chancado Fino Terciario,Chancado,Chancado fino paso 3
Chancado Fino 4°,Planta Chancado Fino Cuaternario,Chancado,Chancado fino paso 4
Molienda SAG,Planta Molienda SAG,Molienda,Molienda semiautogena
Molienda Convencional,Planta Molienda Convencional,Molienda,Molienda con bolas
CDM Linea 1,Centro Distribucion Mineral Linea 1,CDM,Distribucion linea 1
CDM Linea 2,Centro Distribucion Mineral Linea 2,CDM,Distribucion linea 2
Nodo 3500,Nodo de transferencia 3500,Nodo,Transferencia cota 3500
